school,state,region,year,confidence,flags,applied,admitted,admit_rate,enrolled_ft_freshmen,sat_25,sat_75,act_25,act_75,avg_gpa,pct_top_10,test_policy,tuition_in,tuition_out,coa_in,coa_out,n_with_need,n_no_need,n_no_need_merit,pct_no_need_merit,avg_merit,price_after_merit,n_athletic,avg_athletic,pct_need_fully_met,avg_pct_need_met,avg_need_based_award,notes
Union College,NY,Northeast,2023-24,high,,9295,4070,0.4379,550,1330,1460,30,33,3.75,58.1,optional,69039,69039,86049,86049,335,215,187,0.8698,25626,60423,6,65916,100,100,51940,"All key fields found cleanly. Private institution, so tuition/fees same for in-state/out-of-state. Testing is optional for most students (required only for combined law/medical programs and homeschooled students). Need-based aid data shows 100% of need met for first-time freshmen, indicating generous aid program."
United States Air Force Academy,CO,West,2022-23,low,,,,,1054,,,,,,,,,,,,,,,,,,,,,,,"Source text is severely truncated: only Section B (Enrollment) and partial faculty data are present; Sections C, G, and H are entirely absent, so no need-based/merit/athletic aid or cost data exist to extract. enrolled_ft_freshmen=1054 verified as 753 men + 301 women from B1/B2 tables. All other flagged fields correctly remain null given the source has no data to check them against."
United States Military Academy,NY,Northeast,2022-2023,high,,12559,1501,0.1195,1173,1230,1430,27,33,4.0,43.0,Required,,,,,,,,,,,,,,,,"United States Military Academy is a unique federal military academy funded by the U.S. Army. There is no tuition, financial aid, or cost to cadets—the Army pays 100% of tuition, room and board, medical, and dental costs. All cadets receive a salary covering uniforms, books, and supplies. No H2/H2A merit aid data available as the institution does not operate a traditional financial aid system. Section G and H intentionally left blank per CDS instructions."
United States Naval Academy,MD,Southeast,2022-2023,medium,coa_out_of_range,9345,3582,0.3833,1168,1210,710,25,32,,62,Required,0,0,0,0,,,,,,,,,,,,"Verified: enrolled_ft_freshmen=1168 matches B1 (839 men + 329 women) and no inconsistency exists since merit/need fields were already null. USNA is a tuition-free federal service academy; H1 shows $0/$0 for all need- and non-need-based aid, and H2/H2A row labels have no associated numeric data anywhere in the extracted text (checked all dollar figures in the document), so merit and need-aid fields are genuinely unreportable rather than misextracted."
University at Buffalo,NY,Northeast,2023-24,high,,38210,26481,0.693,4252,1200,1380,27,32,3.8,28.3,test-optional,10782,30572,27536,47326,2610,1642,403,0.2454,4371,42955,55,31362,12.7,61,15718,"All key fields located in CDS sections. Public SUNY institution; test-optional policy. Merit aid values represent first-time, full-time freshmen cohort from H2A section."
University of Alabama,AL,Southeast,2023-24,high,,58418,44295,0.7582,8252,1120,1370,22,32,3.87,27.6,Required for most applicants (exceptions for students 25 years or older),11900,33200,25216,46516,3827,4425,2645,0.5977,16310,30206,96,30148,25.12,58.42,17101,All key financial aid fields found cleanly in H2A section. Test policy requires SAT or ACT for most applicants (with noted exception for age 25+). Data from first-time full-time first-year cohort throughout.
University of Alabama at Birmingham,AL,Southeast,2023-24,high,,10919,9655,0.8842,2054,1170,1363,22,30,3.8,24.4,test-optional,11810,28640,24570,41400,1341,713,561,0.7868,8758,32642,84,20081,17.4,58.5,6015,All key fields found cleanly. Public institution with clear separation of in-state and out-of-state costs. Test-optional policy (test-optional through Fall 2025) but scores reported when submitted.
University of Arizona,AZ,Southwest,2023-24,low,coa_from_ipeds,,,,,,,,,,,,,,33126,60595,,,,,,,,,,,,"Verified against source: the CDS text file contains only the blank template's questions, instructions, and glossary (Sections A-J plus definitions) with no filled-in numeric answers anywhere, including B1 enrollment, C1 admissions, G1 cost, and H2/H2A financial aid tables. No values exist to extract for enrolled freshmen, need/merit counts, or cost of attendance; original PDF-to-text conversion likely dropped the response values or the filing itself was not populated. All fields remain null."
University of Arkansas,AR,Southeast,2023-24,high,,28173,20191,0.7167,6290,1050,1220,21,28,3.8,27.364,Required for some,10104,29966,24348,44210,2765,3525,1189,0.3373,4788,39422,73,17520,12.42,54.48,10777,"All key fields found cleanly. In-state and out-of-state tuition/fees clearly delineated for this public institution. Need-based and merit aid figures from first-time, first-year cohort in H2 and H2A sections respectively."
University of California - Davis,CA,West,2023-24,high,,94627,39399,0.4164,6581,,,,,4.1,,Not considered for admission,13146,44148,37396,68398,3517,3064,341,0.1113,6162,62236,70,18271,24.7,85.6,27469,UC Davis is a public institution with test-optional admissions policy (tests not considered for admission). Test score data not reported. High school rank data not reported. Cost figures include in-state and out-of-state tuition separately. Food and housing figures combined from housing and meal plan components.
"University of California, Berkeley",CA,West,2023-24,high,,125916,14769,0.1173,6498,,,,,3.9,,Test-free,17073,51273,40617,74817,3200,3298,324,0.0982,9358,65459,145,23274,37.3,89.3,32488,"UC Berkeley is test-blind (not using SAT/ACT in admissions). All data from CDS 2023-24. Cost of attendance total calculated: in-state COA = $13,146 + $3,927 + $23,544 = $40,617; out-of-state COA = $47,346 + $3,927 + $23,544 = $74,817."
"University of California, Irvine",CA,West,2023-24,medium,coa_from_ipeds,121095,31184,0.2575,6776,,,,,,,Not used in admissions,,,39051,69828,3608,3168,167,0.0527,10522.25,59305,25,17276.66,25.1,84.4,24026.94,Cost of attendance data (G1) reported as not currently available as of filing date (7/1/2024 expected). Standardized test scores (SAT/ACT) are optional and not used in admissions decisions; 0% reported submission. High school GPA data missing (0% shown for all ranges).
"University of California, Los Angeles",CA,West,2023-24,medium,,145910,12737,0.0873,6579,,,,,3.93,,Test Optional,15094,49294,34463,68663,3035,3544,196,0.0553,9371,59292,27,,29.7,86.9,27492,Test scores (SAT/ACT) are confidential/withheld in the CDS. Athletic scholarship amounts (line Q) were blank in the document. UCLA uses test-optional admission.
"University of California, Merced",CA,West,2023-24,high,,30017,26595,0.886,2397,,,,,3.61,,Test Optional,15496,49696,36941,71141,1988,409,150,0.3667,4479.66,66661.34,7,928.57,18.98,86.57,29609.02,"Institution is test-blind/optional; no SAT/ACT scores reported. All key sections (C1, H2, H2A, G1) cleanly present."
"University of California, Riverside",CA,West,2023-24,medium,coa_from_ipeds,56883,40032,0.7038,5488,,,,,3.9,,"Not required for admission, but considered if submitted",,,40285,71062,3909,1579,171,0.1083,5181,65881,15,18358,22.5,90.2,29789,"PDF text extraction lost test score percentiles (C9), cost of attendance figures (G1), and top 10% class rank percentage (C10). Need-based and merit aid data for first-time freshmen extracted from H2/H2A. UC is a public institution; in-state and out-of-state tuition values not available in extracted text."
"University of California, San Diego",CA,West,2023-24,high,,130845,32403,0.2476,6923,,,,,3.9,100.0,Not considered,16815,51015,42639,76839,4080,2843,190,0.0668,13435,63404,44,11788,21.6,84.0,26582,Test-optional institution (standardized tests not considered for admission). Section H2A athletic awards clearly separated from merit aid. All data from CDS 2023-24.
"University of California, Santa Barbara",CA,West,2023-24,high,,110876,30805,0.2778,5014,,,,,4.3,,test-blind,16346,50546,36293,70493,2566,2448,122,0.0498,12177,58316,61,17297,20.0,83.3,26713,"UC is test-blind (standardized test scores not used in admission), so SAT/ACT percentiles are null. High school class rank data not provided in CDS. All data from official CDS filing."
"University of California, Santa Cruz",CA,West,2023-24,high,coa_estimated_from_components,68750,42130,0.6128,4365,,,,,3.89,43.1,"Not required for admission, but considered if submitted",15983,50183,39331,73531,2351,2014,243,0.1207,7383,66148,0,0,27.7,85.9,24956,All key fields extracted cleanly. Test score percentiles (SAT/ACT 25th/75th) not explicitly reported in CDS document. SAT composite score reported as 0.00% indicating test-optional or unreliable data; using null. Enrollment derived from B1 full-time first-year degree-seeking freshmen total.
University of Central Florida,FL,Southeast,2023-24,high,,55210,23958,0.4339,7226,1200,1340,25,29,4.18,36,Required,6368,22467,16778,32877,3227,3999,819,0.2048,3804,29073,63,24405,29,75,8559,Data for 2022-2023 academic year reported in financial aid section per CDS item H1. All required fields located cleanly in appropriate CDS sections.
University of Chicago,IL,Midwest,2023-24,high,,17373,2121,0.1221,1625,1510,1560,34,35,4.32,97,required,70662,70662,90771,90771,602,1023,174,0.1701,36924,53847,0,0,100,100,67505,All key fields extracted from CDS 2023-24. Athletic scholarships ($0) are separate from merit scholarships in H2A.
University of Cincinnati,OH,Midwest,2023-24,high,coa_from_ipeds,33165,29077,0.8767,6841,1160,1340,24,29,3.7,23.4,"Not required for admission, but considered for some",,,33342,50354,3165,3676,1755,0.4774,6586,43768,54,14085,10.4,46,8954,"2024-2025 cost data not available as of filing date; using 2022-2023 academic year financial aid data. All major sections (C1, C8, C9, C10, C12, H2, H2A) clearly populated."
University of Colorado Boulder,CO,West,2023-24,high,,57541,46693,0.8115,7546,1160,1380,27,32,3.76,25,"Not required for admission, but considered if submitted",14002,43622,31796,61416,2805,4741,3095,0.6528,9245,52171,65,35005,29,67,14196,"All key financial aid fields found cleanly in H2A section. Costs split between in-state and out-of-state as public institution. COA calculated by summing tuition+fees + food/housing; books ($1,200) and other expenses not separately itemized."
University of Connecticut,CT,Northeast,2023-24,high,coa_estimated_from_components,26531,9601,0.3619,4178,1220,1410,29,33,,51.98,testing-optional,21044,43712,38824,61492,2467,1711,1045,0.6108,11091,50401,82,36226,,62.1,20497,All key fields found cleanly. Test policy is testing-optional as of 2021-22 cycle. Cost section shows in-state and out-of-state tuition/fees separated. H2A section provides clear merit aid numbers for both institutional non-need-based and athletic awards.
University of Dayton,OH,Midwest,2023-24,medium,coa_from_ipeds,12186,10299,0.8452,1893,1180,1350,24,30,3.75,27,consider_if_submitted,,,67265,67265,1244,649,649,1.0,26820,40445,28,28124,24.2,86.5,37410,Section G1 (cost of attendance) dollar amounts were not extracted from the PDF text (table formatting issue). SAT/ACT policy appears to be 'Consider if Submitted' based on C8A marking. All other major fields located and extracted.
University of Delaware,DE,Southeast,2022-23,low,coa_from_ipeds,,,,,,,,,,,,,,33718,57358,,,,,,,,,,,,"Verified against source: B1/C1, G1, H1, H2, and H2A tables contain only blank form labels/column headers with no numeric cell values (PDF table extraction dropped the data cells). No admissions, cost, need-aid, or merit figures are recoverable from this text; all fields correctly left null."
University of Denver,CO,West,2023-24,high,,19214,13679,0.7119,1438,1220,1370,28,32,3.8,46.9,"Not required for admission, but considered for some",61434,61434,79193,79193,590,848,796,0.9387,23778,55415,48,39453,36.4,86.8,43800,All key CDS sections located and extracted cleanly. Private institution with consistent costs across in-state and out-of-state. H2A merit aid fields clearly identified.
University of Florida,FL,Southeast,2023-24,high,,65375,15707,0.2403,6762,1320,1470,28,33,3.94,87,Required to be considered for admission,6381,28658,29381,51158,4439,2323,172,0.074,3666,47492,79,22002,78.3,99.0,14050,All key fields found cleanly from official CDS filing. H2A section clearly shows merit aid for non-need students separate from athletic awards.
University of Georgia,GA,Southeast,2023-24,low,coa_from_ipeds,,,,,,,,,,,,,,28106,47146,,,,,,,,,,,,"Verified: source file is the blank Peterson's/College Board CDS 2023-2024 template (question text, definitions, and empty checkboxes only) with no numeric values filled in anywhere, including C1 (freshmen enrolled), H2/H2A (need and merit counts), and G1 (cost). No admissions, cost, or aid data exists in this file for University of Georgia to extract."
University of Houston,TX,Southwest,2023-24,high,,30327,21087,0.6953,5214,1160,1320,23,28,3.504,31.32,"Not required for admission, but consider if submitted",11882,27482,22712,38312,3609,1605,313,0.195,4275,34037,32,11252,11.95,58.4,11252,All key sections found cleanly. Data is from 2023-2024 academic year as confirmed in H1. SAT composite score preferred over component scores.
University of Illinois at Chicago,IL,Midwest,2023-24,high,,25420,19955,0.785,4565,1070,1300,24,31,3.5,23.5,"Not required for admission, but considered for some",14338,29884,28938,44484,3239,1326,111,0.0837,4859,39625,23,34635,7.3,53.0,18700,"All key fields found cleanly. H2A section clearly identifies non-need-based merit aid (N=111, avg=$4,859) and athletic aid (P=23, avg=$34,635) for first-time freshmen. Test policy is test-optional."
University of Illinois at Urbana-Champaign,IL,Midwest,2023-24,high,,67398,29446,0.4369,8325,1350,1510,30,34,,54,test optional,17640,36760,32100,51220,3548,4777,986,0.2064,5918,45302,51,28870,33,77,20860,All key fields found clearly in the CDS document. Test policy is test optional. Public institution with separate in-state and out-of-state tuition rates.
University of Iowa,IA,Midwest,2022-23,high,,25729,22128,0.86,5157,1140,1340,22,28,3.82,33.24,Require for Some,12606,34569,25222,47185,2271,2886,1535,0.5319,6027,41158,108,14331,41.84,75.0,11062,
University of Kansas,KS,Midwest,2022-2023,high,,16204,14234,0.8784,4371,1090,1320,21,28,3.66,26,Considered,11167,28035,21303,38171,2055,2316,1417,0.6118,8479,29692,66,20314,41.5,77.1,17742,"Document header indicates 2022-2023 academic year, not 2023-24 as specified. H2A section clearly shows merit aid data for first-time full-time freshmen. Test policy is 'considered' (optional), not required."
University of Kentucky,KY,Southeast,2023-24,high,,28233,26083,0.9238,6351,1080,1290,21,28,3.6,30.2,"Not required for admission, but considered for some",13502,34140,29518,50156,3351,3000,2163,0.721,8842,41314,117,21907,18.3,64.6,17645,All key sections found cleanly. Public institution with complete financial aid data across all required categories.
University of Louisville,KY,Southeast,2023-24,high,,14821,11937,0.8054,2917,1010,1220,19,27,3.64,,"Not required for admission, but considered if submitted",13136,29482,25312,41658,2068,849,620,0.7303,9707,31951,111,24399,19.6,67,15061,All key sections found cleanly. Percent in top tenth of HS class was redacted (C or t). Test-optional policy confirmed; SAT composite score used as reported.
University of Maine,ME,Northeast,2023-24,high,,13425,12843,0.9566,1766,1080,1320,22,31,3.5,21.7,Not considered,12606,35346,25302,48042,1139,627,600,0.9569,9057.97,38984.03,54,14242.26,35.0,77.0,13055.12,
University of Mary Washington,VA,Southeast,2023-24,low,coa_from_ipeds,,,,,,,,,,,,,,32549,49469,,,,,,,,,,,,"Re-verified against source text: confirmed the document contains only CDS form labels, question text, and instructional/definition text (e.g. H2/H2A rows for need and non-need-based aid) with no numeric data anywhere in the 2063-line file, including C1 admissions and G1 cost sections. The filing is an unfilled template; no admissions, cost, need-aid, or merit figures can be extracted."
"University of Maryland, Baltimore County",MD,Southeast,2023-24,medium,coa_estimated_from_components;coa_from_ipeds,13150,9762,0.7424,1977,610,700,23,30,4.04,25,Not required for admission but considered if submitted,15906,,21134,49526,1182,795,719,0.9044,5691,43835,31,13247,45.0,62.0,12975,"Average GPA of 4.04 appears questionable and may be data extraction error. Food and housing costs show range; using on-campus total from G5 ($1,828). Out-of-state tuition not explicitly separated in extracted text. Test policy shows 'Not required for admission but considered if submitted'."
"University of Maryland, College Park",MD,Southeast,2023-24,high,,59369,26623,0.4484,6176,1380,1510,32,35,4.45,71.6,"Not required for admission, but considered for some",11505,40306,26622,55423,2218,3958,1077,0.2721,7261,48162,90,36378,19.96,66.1,14538,All key CDS sections located cleanly. H2A athletic and merit aid data clearly reported in full-time first-year columns. Average HS GPA of 4.45 reflects institution's reporting of very high-performing class (93.64% with 4.0 GPA).
University of Massachusetts Amherst,MA,Northeast,2023-24,high,,50424,29129,0.5777,5247,1310,1460,29,33,4.07,31.9,"Not required for admission, but considered if scores are submitted",18272,40949,37040,59717,2663,2584,1758,0.6803,9134,50583,47,28115,16.9,82.2,14341,All key sections located and extracted cleanly. SAT/ACT scores well-documented; test policy is optional. H2A merit aid sections clearly identified with separate non-need merit and athletic award counts.
University of Massachusetts Boston,MA,Northeast,2023-24,high,merit_rate_clamped_denominator_approx,20918,17353,0.8296,1068,1090,1290,24,30,3.5,16,"Not required for admission, but considered for some",15691,37367,33703,55379,1708,-640,399,-0.6234,6976.08,48402.92,,,27.3,85.3,13815.18,"All key fields found. Test policy is test-optional (SAT and/or ACT not required for admission, but considered for some). SAT composite available; ACT composite from enrollees but 28% submitted SAT and 2% submitted ACT. Public institution with separate in-state and out-of-state tuition. Athletic aid data is blank (line P is empty, no average athletic award reported). Cost figures are for 2024-2025 academic year."
University of Miami,FL,Southeast,2023-24,high,,21869,7758,0.3547,2328,1340,1450,30,33,3.8,64,Required,62616,62616,86406,86406,1054,1274,909,0.7135,24895,61511,41,69189,98,100,47156,Private institution. H2A athletic aid awards are clearly separated from non-need merit aid. All key financial aid fields extracted cleanly from H2 and H2A sections.
University of Michigan,MI,Midwest,2023-24,high,,87632,15722,0.1794,7466,1350,1530,31,34,3.9,37.8,Required to be considered,17960,61681,37156,80877,2789,4677,1030,0.2202,4425,76452,142,34473,64.7,91,24692,"Public institution. SAT composite reported directly. First-time full-time freshmen enrollment is 7,466 (3,397 men + 4,029 women from C1). In-state/out-of-state tuition rates vary by division; used average of lower and upper division rates. Cost of attendance calculated from components in G5 (tuition, food/housing, books, transportation, other)."
University of Minnesota - Twin Cities Campus,MN,Midwest,2023-24,medium,coa_from_ipeds,34699,26880,0.7747,6682,1328,1460,27,31,,39.4,"Not required for admission, but considered if submitted",,,32866,52780,3405,3277,988,0.3015,5481,47299,22,9606,27.0,77.3,15530,Tuition and fees data (section G1) marked as confidential/too few (C or t) in the filing. Average high school GPA also not provided. All other key financial aid fields found cleanly.
"University of Minnesota, Morris",MN,Midwest,2022-23,medium,,2096,1089,0.5196,273,,,,,3.28,19,Test-optional,14288,16438,24362,26512,185,88,52,0.5909,5521,20991,,,25.4,74.7,12483,"Test scores (SAT/ACT percentiles) not reported - shows 0.00% across all ranges, suggesting test-optional or test-blind policy. Athletic scholarship data (H2A line P and Q) not visible in document. H2A shows merit aid data clearly for non-need-based institutional scholarships."
University of Mississippi,MS,Southeast,2023-24,high,,27837,27218,0.9778,5186,1030,1200,21,29,3.6,23,Required for some,9772,28600,22372,41200,1991,3195,1632,0.5108,11116,30084,60,20209,22.7,79.0,12962,All key sections found cleanly. H2A merit aid fields clearly identified. Test policy is 'Required for some' for both SAT and ACT.
University of Missouri Columbia,MO,Midwest,2023-24,high,,21669,16690,0.7702,5097,1150,1330,23,29,,35,"Not required for admission, but considered for some",14830,36040,28530,49740,2817,2280,2079,0.9118,8267,41473,50,25952,21,70,15265,"All key fields found cleanly. SAT composite calculated from EBRW and Math percentiles: 25th=1150, 75th=1330. Average HS GPA data not clearly reported in standard format in this CDS."
University of Nebraska - Lincoln,NE,Midwest,2023-24,high,,18354,14146,0.7707,4672,1090,1310,22,28,3.62,30,"Not required for admission, but considered if submitted",10434,28764,28710,47040,2662,2010,1397,0.695,7608,39432,105,16982,25.1,76,10094,All key fields found cleanly. SAT and ACT test scores reported separately; composite SAT available at 1090/1310. Public institution with separate in-state and out-of-state tuition.
"University of Nevada, Las Vegas",NV,West,2023-24,high,,13711,11758,0.8576,4486,980,1230,18,24,3.4,20.6,Required to be considered for admission,9297,26253,22369,38325,3326,1160,95,0.0819,4469,33856,73,17888,11.8,67.1,5649,All major data fields located and extracted cleanly. Test scores use composite SAT (980-1230) and composite ACT (18-24). Need-based aid figures from H2 section using first-time first-year freshmen column. Merit aid (non-need-based) figures from H2A section clearly marked.
"University of Nevada, Reno",NV,West,2023-24,medium,coa_from_ipeds,10142,8652,0.8531,3390,1060,1300,20,26,3.445,26,"Not considered for admission, even if submitted",,,29264,46220,,,,,,,,,,,,"Cost of attendance (G1) and all financial aid data (H1, H2, H2A) are marked as confidential or truncated (C or t) in the CDS filing and therefore unavailable. Admissions and academic profile data are complete."
University of New Hampshire,NH,Northeast,2023-24,medium,merit_rate_clamped_denominator_approx;coa_from_ipeds,20887,18144,0.8687,2605,1130,1310,26,31,3.6,,"Not required for admission, but considered for some",,,36076,55846,1861,744,927,1.0,7640,48206,53,33127,15.9,71.0,9703,"H2/H2A figures (927 no-need merit, 1861 with-need) are correctly read from the Full-Time First-Time First-Year column, but that column's own headcount base (H2 line A = 2939) differs from the C1 admissions enrolled-freshman count (2605) because H1/H2/H2A are reported for the prior 2022-2023 aid cohort while C1 is Fall 2023 enrollment; using the H2 table's own base (2939-1861=1078 >= 927) the figures are internally consistent. Cost of attendance (G1) data not available for 2024-2025 academic year per CDS filing."
University of New Mexico,NM,Southwest,2023-24,medium,coa_from_ipeds,13631,10676,0.7832,3488,910,1150,19,26,3.4,,ACT Only,,,26035,44370,2131,1357,,,,,,,25.6,,14010,"Verified against source: enrolled_ft_freshmen (3488) and n_with_need (2131) correctly reflect the First-time Full-time Freshmen columns of C1 and H2 (not the all-undergrad columns of 3584/7065). G1 cost-of-attendance section and H2A merit/athletic aid rows (N, O, P, Q) are genuinely left blank in the source filing itself, so those fields remain null rather than reflecting an extraction error."
University of North Carolina Wilmington,NC,Southeast,2022-23,high,,16860,11605,0.6883,2364,1220,1370,24,29,4.04,17.9,optional,7238,21858,26466,41086,1183,1181,55,0.0466,3772.81,37313.19,79,4171.64,14.7,46.37,9160.04,CDS data for 2021-2022 academic year (final figures reported in H1-H2A sections). All core fields located and verified.
University of North Carolina at Asheville,NC,Southeast,2023-24,high,,3520,3333,0.9469,627,1180,1330,22,29,3.38,11,"Not required for admission, but considered if submitted",7611,24959,18629,35977,228,399,164,0.411,3103,32874,23,5267,14.9,70.0,9483,"All key financial aid fields found cleanly. Public institution, tuition varies by residency. H2A merit aid data clearly reported for non-need-based scholarship and athletic awards."
University of North Carolina at Chapel Hill,NC,Southeast,2023-24,high,,57902,10852,0.1874,4688,1380,1520,30,34,4.5,74.9,Not required but considered for some,9010,41218,23814,55022,1687,3001,172,0.0573,7256,47766,87,18434,71.4,100,15344,Test policy is non-required but considered for some. Athletic aid is separately reported. Carolina Covenant program provides no-loans for qualifying low-income students.
University of North Carolina at Charlotte,NC,Southeast,2023-24,medium,coa_from_ipeds,22698,18207,0.8021,4421,665,1310,21,27,3.572,18,"Not required for admission, but considered if submitted",,,24672,39334,2106,2315,510,0.2203,3445,35889,16,981,6.8,62.0,11617,"Cost of attendance data (tuition/fees and total COA) not visible in PDF text extraction. All H2A merit aid fields confirmed: 510 students with no need merit aid at $3,445 avg; 16 athletic aid recipients at $981 avg. Food/housing estimate from G5 component data."
University of Notre Dame,IN,Midwest,2023-2024,high,,28353,3510,0.1238,2075,1440,1540,32,35,,92,Required for consideration,65025,65025,86125,86125,1093,982,50,0.0509,18103,68022,114,41022,100,100,64827,Private institution. SAT composite not directly reported; using separate EBRW and Math percentiles. Athletic aid tracked separately from other merit aid in H2A section. COA total calculated from components: tuition + fees + food/housing + books + transportation + other.
University of Oklahoma,OK,Southwest,2023-24,high,,22157,17097,0.7716,4464,1150,1310,23,29,3.6,29.6,Test Optional,9887,27467,23517,41097,2034,2430,594,0.2444,3432,37665,52,26107,78.5,78.6,3574,All key H2A fields found cleanly. Test optional policy documented. Cost and aid data complete for first-year students.
University of Oregon,OR,West,2023-24,high,,39400,33532,0.8511,4979,1150,1340,22,30,3.75,,test optional,16137,44598,37092,65553,2558,2421,1388,0.5733,6874,58679,29,13238,7.8,52.0,11556,"Test policy is test-optional (clearly stated). Percent in top tenth not explicitly found in readable text extraction. All H2A fields clearly located in section H2A rows N, O, P, Q."
University of Pennsylvania,PA,Northeast,2023-24,high,,59465,3489,0.0587,2415,1500,1570,34,35,3.9,92,Required,68686,68686,87860,87860,1119,1296,,,,,,,100,100,63395,"H2A (non-need-based merit and athletic aid) has no numeric entries in the source CDS filing itself for freshmen or any cohort - Penn is a no-merit-aid institution, consistent with H2 line g) (non-need scholarship recipients) also being blank. Verified enrolled_ft_freshmen=2,415 against both B1 (1,113+1,302) and H2 line a), and filled in coa_total from G1 (tuition 60,920 + fees 7,766 + room 12,640 + board 6,534)."
University of Pittsburgh,PA,Northeast,2023-24,high,,58416,29034,0.497,4547,1270,1450,29,33,4.13,48,optional,21926,41430,35546,55050,2126,2421,452,0.1867,8740,46310,52,8678,12.1,58.8,18134,Public institution. Test-optional policy through Fall 2025. All data from 2023-24 CDS. H2A merit aid data clearly marked for first-time full-time freshmen.
University of Portland,OR,West,2023-24,low,coa_from_ipeds,,,,,,,,,,,,,,74700,74700,,,,,,,,,,,,"Verified against source: B1/C1 enrollment, G1 cost, and H2/H2A financial aid tables all show only field labels/questions with no numeric values filled in anywhere in the document. This is the blank CDS template, not a completed filing, so no figures can be extracted."
University of Puget Sound,WA,West,2023-24,high,,5568,4231,0.7599,463,1220,1380,27,31,3.6,29.5,Test-optional,62898,62898,78568,78568,269,194,194,1.0,27508,51060,0,0,21.2,87.0,42545,All key sections located and values clearly reported. Private institution with same tuition for in-state/out-of-state. Test policy is test-optional (not required but considered). Merit aid and need-based aid data both present and unambiguous.
University of Redlands,CA,West,2021-22,high,,3738,3100,0.8293,513,1108,1300,25,29,3.74,31.97,Require for Some,55828,55828,76076,76076,390,123,62,0.5041,33389,42687,0,,43.59,93.0,39456,All key fields extracted cleanly from CDS. Test policy marked as 'Require for Some' - institution uses both SAT and ACT. Athletic merit aid is $0 with 0 recipients.
University of Rhode Island,RI,Northeast,2023-24,high,,25391,19568,0.7707,3264,1160,1300,26,31,3.64,18,test optional,16942,37146,33451,53655,2390,874,755,0.8638,6483,47172,18,19725,36.5,61.1,17066,"All key fields found cleanly. Test policy is test-optional. Cost of attendance calculated by summing tuition+fees, food/housing, books, and transportation as reported in the document."
University of Richmond,VA,Southeast,2023-24,high,,15121,3525,0.2331,832,1430,1510,32,34,3.8,56.1,"Not required for admission, but considered for some",65230,65230,84930,84930,316,516,90,0.1744,46074,38856,67,36788,89.6,99.7,55651,All key fields found cleanly. Private institution so tuition in-state and out-of-state are the same. Test policy is test-optional (not required but considered). Financial aid data from 2023-2024 academic year as reported.
University of Rochester,NY,Northeast,2023-24,high,,21680,7773,0.3585,1543,1410,1510,31,34,3.73,67.2,"Not required for admission, but considered for some",67124,67124,87694,87694,788,755,322,0.4265,14778,72916,0,0,94.1,98.5,58725.1,All key CDS sections found and extracted cleanly. Private institution with same tuition for in-state and out-of-state. Athletic aid awards were $0.
University of San Diego,CA,West,2023-24,high,,15921,7452,0.4681,1244,,,,,4.1,28,Optional,59486,59486,76756,76756,752,492,277,0.563,20465,56291,23,47177,18.2,86.3,47071,"Test policy is optional (not required); test scores not provided in the document. Private institution so in-state and out-of-state tuition are identical. All critical H2A merit aid fields found cleanly in lines N, O, P, Q."
University of San Francisco,CA,West,2023-24,high,,25709,13052,0.5077,1122,1240,1370,26,31,3.7,34.6,"Not required for admission, but considered for some",60492,60492,82007,82007,743,379,306,0.8074,20819,61188,32,39773,11.6,68,38911,"Private institution; SAT/ACT optional for admission. All cost figures are same for in-state and out-of-state since institution is private. Merit aid section clearly shows 306 students without financial need receiving merit grants (avg $20,819) and 32 athletes receiving athletic awards (avg $39,773)."
University of South Carolina,SC,Southeast,2023-24,high,,46682,28706,0.6149,7311,1190,1370,26,32,3.7,28,optional,12688,35972,36832,60116,3449,3862,2009,0.5202,4092,56024,27,11803,19,63,12017,"All key sections (C, G1, H2, H2A) found clearly. Test policy is optional (students indicate whether to include scores). This is a public institution; in-state and out-of-state tuition differ significantly."
University of South Florida,FL,Southeast,2023-24,high,,65187,26699,0.4096,5676,1140,1330,24,29,4.2,41.2,Required,6410,17324,20005,30919,3236,2440,1143,0.4684,3752,27167,45,21162,17.1,69,12583,"All key sections found cleanly. SAT composite calculated from EBRW and Math percentiles (25th: 1140, 75th: 1330). H2A merit aid data clearly separated from athletic awards."
University of Southern California,CA,West,2023-24,high,,80808,8094,0.1002,3630,1450,1530,32,35,3.86,67.2,"Not required for admission, but considered for some",68687,68687,87887,87887,1374,2256,909,0.4029,20312,67575,117,39027,88.2,101,50322,"All key fields found cleanly from CDS sections B1, C1, C8-C12, G1, H2, and H2A. First-time freshman cohort data clearly identified."
University of Tennessee - Knoxville,TN,Southeast,2023-24,high,,50488,23221,0.4599,6689,1190,1340,25,31,,39,Required to be considered for admission,13812,32956,35064,54208,2854,3835,3105,0.8096,6963,47245,45,6131,23,64.6,13768,"Average high school GPA reported as 4.19, which exceeds the standard 4.0 scale — likely a data entry error in source; otherwise all major fields extracted cleanly from sections C1, C8-C12, G1, H2, and H2A."
University of Texas at Austin,TX,Southwest,2023-24,high,,66109,19253,0.2912,9230,1320,1520,29,35,3.8,38,SAT and/or ACT recommended,11678,42778,25814,56914,4298,4932,407,0.0825,3145,53769,93,22216,17.35,80.2,15412,"All key fields found cleanly. Data from 2022-2023 academic year per H1 table header. SAT composite, ACT composite not explicitly listed in percentile sections but school reports percentile data for component scores."
